I_Id,I_W,I_Fat_C,I_Vis,I_MRP_JD,I_category,I_MRP_US,O_Id,O_Establ_Y,O_Size,I_Recalled,O_Loc_T,O_T,I_O_Sales
FDS46,17.6,Regular,0.047382328,133.251522,Snack Foods,187.6782,OUT046,2007,Small,YES,Tier 1,Carrefour,2325.2076
FDF32,16.35,Low Fat,0.0681493,187.754246,Fruits and Vegetables,264.4426,OUT013,1997,High,NO,Tier 3,Carrefour,2157.426
FDP49,9,Regular,0.069213961,88.296594,Breakfast,124.3614,OUT046,2007,Small,NO,Tier 1,Carrefour,1727.3192
NCB42,11.8,Low Fat,0.008721051,130.177932,Health and Hygiene,183.3492,OUT018,2019,Medium,NO,Tier 3,C-Town,1801.8888
FDP49,9,Regular,0.069321376,86.876594,Breakfast,122.3614,OUT049,2009,Medium,NO,Tier 1,Carrefour,898.3982
DRI11,,Low Fat,0.034362682,128.711214,Hard Drinks,181.2834,OUT027,1995,Medium,YES,Tier 3,Cozmo,2483.668
FDU02,13.35,Low Fat,0.10261712,211.959992,Dairy,298.5352,OUT035,2014,Small,NO,Tier 2,Carrefour,2928.4224
FDN22,18.85,Regular,0.138315277,226.399404,Snack Foods,318.8724,OUT013,1997,High,NO,Tier 3,Carrefour,3955.086
FDW12,,Regular,0.035524923,150.906524,Baking Goods,212.5444,OUT027,1995,Medium,NO,Tier 3,Cozmo,4244.0432
NCB30,14.6,Low Fat,0.025823134,187.800964,Household,264.5084,OUT035,2014,Small,YES,Tier 2,Carrefour,1767.2672
FDC37,,Low Fat,0.057681998,124.742598,Baking Goods,175.6938,OUT019,1995,Small,NO,Tier 1,Family Basket,394.3876
FDR28,13.85,Regular,0.026021485,165.44491,Frozen Foods,233.021,OUT046,2007,Small,NO,Tier 1,Carrefour,4258.025
NCD06,13,Low Fat,0.100012103,80.87326,Household,113.906,OUT017,2017,,NO,Tier 2,Carrefour,1018.908
FDV10,7.645,Regular,0.066818437,78.320952,Snack Foods,110.3112,OUT035,2014,Small,NO,Tier 2,Carrefour,1245.28
DRJ59,11.65,low fat,0.019481132,76.052644,Hard Drinks,107.1164,OUT013,1997,High,YES,Tier 3,Carrefour,488.9312
FDE51,5.925,Regular,0.161591534,80.591106,Dairy,113.5086,OUT010,2008,,NO,Tier 3,Family Basket,358.4344
FDC14,,Regular,0.072346801,79.268234,Canned,111.6454,OUT019,1995,Small,NO,Tier 1,Family Basket,305.8362
FDV38,19.25,Low Fat,0.170473551,87.894876,Dairy,123.7956,OUT010,2008,,NO,Tier 3,Family Basket,343.7868
NCS17,18.6,Low Fat,0.080954372,116.754956,Health and Hygiene,164.4436,OUT018,2019,Medium,NO,Tier 3,C-Town,2921.7644
FDP33,18.7,Low Fat,0,230.513712,Snack Foods,324.6672,OUT018,2019,Medium,NO,Tier 3,C-Town,3248.0064
FDO23,17.85,Low Fat,0,114.411956,Breads,161.1436,OUT045,2012,,NO,Tier 2,Carrefour,2354.5028
DRH01,17.5,Low Fat,0.098029029,172.440398,Soft Drinks,242.8738,OUT046,2007,Small,NO,Tier 1,Carrefour,2265.2856
NCX29,10,Low Fat,0.089416137,152.444242,Health and Hygiene,214.7102,OUT049,2009,Medium,NO,Tier 1,Carrefour,3971.0652
FDV20,,Regular,0.059636812,139.208138,Fruits and Vegetables,196.0678,OUT027,1995,Medium,NO,Tier 3,Cozmo,2977.6916
DRZ11,8.85,Regular,0.113248893,135.282548,Soft Drinks,190.5388,OUT018,2019,Medium,NO,Tier 3,C-Town,1789.9044
FDX10,,Regular,0.123236453,74.541054,Snack Foods,104.9874,OUT027,1995,Medium,NO,Tier 3,Cozmo,568.1614
FDB34,,Low Fat,0.026605954,110.490058,Snack Foods,155.6198,OUT027,1995,Medium,NO,Tier 3,Cozmo,2360.495
FDU02,13.35,Low Fat,0.102636504,212.030992,Dairy,298.6352,OUT046,2007,Small,NO,Tier 1,Carrefour,3615.528
FDK43,9.8,Low Fat,0.02694343,137.74142,Meat,194.002,OUT013,1997,High,NO,Tier 3,Carrefour,2330.534
FDA46,13.6,Low Fat,0.117943348,185.248656,Snack Foods,260.9136,OUT049,2009,Medium,NO,Tier 1,Carrefour,2707.3768
FDC02,21.35,Low Fat,0.069227831,232.828738,Canned,327.9278,OUT018,2019,Medium,NO,Tier 3,C-Town,6948.5228
FDL50,12.15,Regular,0.042402867,138.098266,Canned,194.5046,OUT013,1997,High,NO,Tier 3,Carrefour,553.5138
FDM39,6.42,LF,0.089623926,174.731142,Dairy,246.1002,OUT010,2008,,NO,Tier 3,Family Basket,538.2004
NCP05,19.6,Low Fat,0,157.124704,Health and Hygiene,221.3024,OUT045,2012,,YES,Tier 2,Carrefour,2608.8384
FDV49,10,Low Fat,0.026004577,236.588046,Canned,333.2226,OUT045,2012,,NO,Tier 2,Carrefour,5995.0972
FDL12,15.85,Regular,0.121757721,91.32162,Baking Goods,128.622,OUT046,2007,Small,NO,Tier 1,Carrefour,2756.646
FDS02,,Regular,0.255519896,188.064374,Dairy,264.8794,OUT019,1995,Small,NO,Tier 1,Family Basket,960.3176
NCL17,7.39,Low Fat,0.067904712,150.435652,Health and Hygiene,211.8812,OUT046,2007,Small,NO,Tier 1,Carrefour,3314.5864
FDM40,10.195,Low Fat,0.159928853,148.755934,Frozen Foods,209.5154,OUT013,1997,High,NO,Tier 3,Carrefour,1030.8924
FDR13,9.895,Regular,0.028821932,131.384932,Canned,185.0492,OUT013,1997,High,NO,Tier 3,Carrefour,990.9444
FDA43,10.895,Low Fat,0.065166581,187.709374,Fruits and Vegetables,264.3794,OUT017,2017,,NO,Tier 2,Carrefour,3301.2704
NCP18,12.15,Low Fat,0.028885013,155.824268,Household,219.4708,OUT017,2017,,NO,Tier 2,Carrefour,4995.0656
FDK21,7.905,Low Fat,0.010178105,225.098968,Snack Foods,317.0408,OUT018,2019,Medium,YES,Tier 3,C-Town,6438.52
NCX54,9.195,Low Fat,0.048282338,123.655162,Household,174.1622,OUT045,2012,,NO,Tier 2,Carrefour,2297.244
DRK35,8.365,Low Fat,0.072083197,75.295926,Hard Drinks,106.0506,OUT049,2009,Medium,NO,Tier 1,Carrefour,976.9626
FDY21,15.1,Low Fat,0.173606304,186.38281,Snack Foods,262.511,OUT046,2007,Small,NO,Tier 1,Carrefour,5090.275
FDI26,,Low Fat,0.061207177,176.104424,Canned,248.0344,OUT019,1995,Small,NO,Tier 1,Family Basket,1072.172
FDM20,10,Low Fat,0,223.589224,Fruits and Vegetables,314.9144,OUT018,2019,Medium,YES,Tier 3,C-Town,3365.1872
FDV27,7.97,Regular,0.040196131,110.299494,Meat,155.3514,OUT045,2012,,NO,Tier 2,Carrefour,1242.6168
FDF09,,Low Fat,0.012215074,75.462208,Fruits and Vegetables,106.2848,OUT027,1995,Medium,NO,Tier 3,Cozmo,664.7024
FDY40,,Regular,0.15041099,84.539132,Frozen Foods,119.0692,OUT019,1995,Small,NO,Tier 1,Family Basket,327.8076
FDY45,,Low Fat,0.026140519,229.923276,Snack Foods,323.8356,OUT027,1995,Medium,NO,Tier 3,Cozmo,2723.356
FDC46,17.7,LF,0.195193226,179.932886,Snack Foods,253.4266,OUT010,2008,,NO,Tier 3,Family Basket,364.4266
FDH19,19.35,Low Fat,0.033207215,170.807398,Meat,240.5738,OUT035,2014,Small,NO,Tier 2,Carrefour,5045.6664
FDZ03,13.65,Regular,0.079071455,180.35704,Dairy,254.024,OUT045,2012,,YES,Tier 2,Carrefour,1298.544
DRH37,17.6,Low Fat,0.041825756,165.325346,Soft Drinks,232.8526,OUT045,2012,,NO,Tier 2,Carrefour,2482.3364
NCI17,8.645,Low Fat,0.143547643,116.32711,Health and Hygiene,163.841,OUT046,2007,Small,NO,Tier 1,Carrefour,2207.361
FDJ58,15.6,Regular,0.105421072,169.105244,Snack Foods,238.1764,OUT046,2007,Small,NO,Tier 1,Carrefour,3615.528
FDL12,15.85,Regular,0.121656501,90.32762,Baking Goods,127.222,OUT013,1997,High,NO,Tier 3,Carrefour,779.22
FDH35,18.25,Low Fat,0,165.254346,Starchy Foods,232.7526,OUT045,2012,,NO,Tier 2,Carrefour,4784.6728
FDG02,7.855,Low Fat,0.011449862,182.909348,Canned,257.6188,OUT017,2017,,NO,Tier 2,Carrefour,2465.0256
NCZ18,7.825,low fat,0.186482148,228.882558,Household,322.3698,OUT049,2009,Medium,YES,Tier 1,Carrefour,5760.7356
FDC29,8.39,Regular,0.024330661,129.232496,Frozen Foods,182.0176,OUT046,2007,Small,NO,Tier 1,Carrefour,2470.352
FDQ10,12.85,Low Fat,0.033355816,170.642962,Snack Foods,240.3422,OUT049,2009,Medium,NO,Tier 1,Carrefour,1387.0954
FDN48,,Low Fat,0.113845344,112.166084,Baking Goods,157.9804,OUT019,1995,Small,NO,Tier 1,Family Basket,823.1628
FDL04,19,Low Fat,0.112681507,122.803162,Frozen Foods,172.9622,OUT017,2017,,NO,Tier 2,Carrefour,1767.933
FDV25,5.905,Low Fat,0,206.287376,Canned,290.5456,OUT045,2012,,NO,Tier 2,Carrefour,5485.0944
FDD58,7.76,Low Fat,0.059477241,120.6077,Snack Foods,169.87,OUT046,2007,Small,YES,Tier 1,Carrefour,1877.79
FDN04,11.8,reg,0.014212057,176.317424,Frozen Foods,248.3344,OUT046,2007,Small,NO,Tier 1,Carrefour,1607.4752
FDV45,16.75,low fat,0.045355944,181.728476,Snack Foods,255.9556,OUT018,2019,Medium,NO,Tier 3,C-Town,4873.89
NCL18,,Low Fat,0.293542759,186.455656,Household,262.6136,OUT019,1995,Small,NO,Tier 1,Family Basket,763.2408
FDR12,,Regular,0.031507044,169.957244,Baking Goods,239.3764,OUT027,1995,Medium,NO,Tier 3,Cozmo,3271.9752
FDG20,15.5,Regular,0.12652386,173.951988,Fruits and Vegetables,245.0028,OUT017,2017,,NO,Tier 2,Carrefour,2659.4392
FDZ55,6.055,Low Fat,0.025528898,162.58432,Fruits and Vegetables,228.992,OUT035,2014,Small,NO,Tier 2,Carrefour,2896.464
FDQ49,,Regular,0.039182677,159.01373,Breakfast,223.963,OUT027,1995,Medium,NO,Tier 3,Cozmo,3465.723
FDN33,6.305,Regular,0.123240764,116.186956,Snack Foods,163.6436,OUT046,2007,Small,NO,Tier 1,Carrefour,841.8052
FDN27,20.85,Low Fat,0.039749006,131.549368,Meat,185.2808,OUT049,2009,Medium,NO,Tier 1,Carrefour,1703.3504
FDW20,20.75,Low Fat,0.040546193,135.02283,Fruits and Vegetables,190.173,OUT010,2008,,NO,Tier 3,Family Basket,549.519
DRG27,8.895,Low Fat,0.105399111,76.618798,Dairy,107.9138,OUT049,2009,Medium,NO,Tier 1,Carrefour,870.4346
DRI25,19.6,Low Fat,0.034095195,87.444594,Soft Drinks,123.1614,OUT045,2012,,NO,Tier 2,Carrefour,1561.535
FDA44,19.7,Low Fat,0.053337652,89.38403,Fruits and Vegetables,125.893,OUT035,2014,Small,NO,Tier 2,Carrefour,802.523
NCR17,9.8,Low Fat,0.024503706,129.609932,Health and Hygiene,182.5492,OUT035,2014,Small,NO,Tier 2,Carrefour,1454.3412
FDU04,,Low Fat,0.009839595,133.509394,Frozen Foods,188.0414,OUT019,1995,Small,NO,Tier 1,Family Basket,667.3656
FDF41,12.15,Low Fat,0.131508762,222.97266,Frozen Foods,314.046,OUT049,2009,Medium,NO,Tier 1,Carrefour,1411.73
FDB56,8.75,Regular,0.07473809,181.373476,Fruits and Vegetables,255.4556,OUT035,2014,Small,NO,Tier 2,Carrefour,3935.112
NCP18,,Low Fat,0.028584761,154.759268,Household,217.9708,OUT027,1995,Medium,NO,Tier 3,Cozmo,4543.6532
FDB56,8.75,Regular,0.074752201,181.657476,Fruits and Vegetables,255.8556,OUT046,2007,Small,NO,Tier 1,Carrefour,1494.2892
FDT28,13.3,Low Fat,0.063820084,155.540268,Frozen Foods,219.0708,OUT045,2012,,NO,Tier 2,Carrefour,1985.6496
FDD10,,Regular,0.045922829,175.039424,Snack Foods,246.5344,OUT027,1995,Medium,NO,Tier 3,Cozmo,3034.9504
FDW57,8.31,Regular,0.115982223,175.442988,Snack Foods,247.1028,OUT049,2009,Medium,YES,Tier 1,Carrefour,4076.2616
DRB48,16.75,Regular,0.024957806,75.815362,Soft Drinks,106.7822,OUT013,1997,High,NO,Tier 3,Carrefour,847.7974
FDP09,19.75,Low Fat,0.034152909,198.864042,Snack Foods,280.0902,OUT018,2019,Medium,NO,Tier 3,C-Town,3365.853
FDH14,17.1,Regular,0.0468946,148.520498,Canned,209.1838,OUT013,1997,High,NO,Tier 3,Carrefour,2427.7408
FDA47,10.5,Regular,0.116701702,164.09591,Baking Goods,231.121,OUT013,1997,High,NO,Tier 3,Carrefour,1974.331
FDG12,6.635,Regular,0,134.409958,Baking Goods,189.3098,OUT045,2012,,NO,Tier 2,Carrefour,2710.7058
DRE60,,low fat,0.279099075,208.29412,Soft Drinks,293.372,OUT019,1995,Small,YES,Tier 1,Family Basket,859.116
DRK49,14.15,Low Fat,0.036038805,77.683798,Soft Drinks,109.4138,OUT013,1997,High,NO,Tier 3,Carrefour,992.276
FDD03,13.3,Low Fat,0.079931266,213.3763,Dairy,300.53,OUT046,2007,Small,NO,Tier 1,Carrefour,879.09
FDS52,8.89,low fat,0.005630481,120.985136,Frozen Foods,170.4016,OUT017,2017,,NO,Tier 2,Carrefour,2912.4432
FDW39,,Regular,0.064750342,173.90527,Meat,244.937,OUT019,1995,Small,NO,Tier 1,Family Basket,356.437
FDX34,,Low Fat,0.071761937,134.693958,Snack Foods,189.7098,OUT027,1995,Medium,NO,Tier 3,Cozmo,4277.3332
FDV11,9.1,Regular,0,171.255834,Breads,241.2054,OUT045,2012,,NO,Tier 2,Carrefour,3331.8972
FDD17,7.5,Low Fat,0.032802678,218.034326,Frozen Foods,307.0906,OUT049,2009,Medium,YES,Tier 1,Carrefour,6122.265
FDZ16,16.85,Regular,0.160885054,184.917938,Frozen Foods,260.4478,OUT017,2017,,NO,Tier 2,Carrefour,5023.695
FDZ46,7.485,Low Fat,0.06923565,125.686188,Snack Foods,177.0228,OUT035,2014,Small,NO,Tier 2,Carrefour,2722.0244
DRA12,11.6,Low Fat,0.041302505,147.903934,Soft Drinks,208.3154,OUT017,2017,,NO,Tier 2,Carrefour,2732.6772
FDY58,11.65,Low Fat,0.040206193,209.499274,Snack Foods,295.0694,OUT018,2019,Medium,NO,Tier 3,C-Town,1321.847
NCF19,13,Low Fat,0.035432322,82.007414,Household,115.5034,OUT017,2017,,NO,Tier 2,Carrefour,860.4476
DRJ13,12.65,LF,0.063142847,161.211038,Soft Drinks,227.0578,OUT045,2012,,NO,Tier 2,Carrefour,2265.9514
FDB14,20.25,Regular,0.172063781,113.96352,Canned,160.512,OUT010,2008,,NO,Tier 3,Family Basket,366.424
FDJ38,8.6,Regular,0.040322932,183.28863,Canned,258.153,OUT035,2014,Small,NO,Tier 2,Carrefour,3216.048
FDW11,12.6,Low Fat,0.049183014,92.810774,Breads,130.7194,OUT017,2017,,NO,Tier 2,Carrefour,1046.8716
FDL40,17.7,Low Fat,0.01173596,115.75911,Frozen Foods,163.041,OUT035,2014,Small,NO,Tier 2,Carrefour,1048.869
DRI49,14.15,Low Fat,0.183632295,106.803596,Soft Drinks,150.4276,OUT046,2007,Small,NO,Tier 1,Carrefour,1317.1864
FDV38,19.25,Low Fat,0.102474519,85.764876,Dairy,120.7956,OUT017,2017,,NO,Tier 2,Carrefour,1108.1252
DRG23,8.88,Low Fat,0.086833987,156.035422,Hard Drinks,219.7682,OUT013,1997,High,NO,Tier 3,Carrefour,942.341
NCP30,20.5,Low Fat,0.032960147,76.880362,Household,108.2822,OUT045,2012,,NO,Tier 2,Carrefour,887.0796
FDY25,,Low Fat,0.033934913,176.504296,Canned,248.5976,OUT027,1995,Medium,NO,Tier 3,Cozmo,8148.2944
NCH54,13.5,Low Fat,0.07279412,162.08732,Household,228.292,OUT046,2007,Small,YES,Tier 1,Carrefour,1618.128
NCR53,,Low Fat,0.144463493,207.632684,Health and Hygiene,292.4404,OUT027,1995,Medium,NO,Tier 3,Cozmo,7156.2524
FDS52,8.89,Low Fat,0.009288216,120.488136,Frozen Foods,169.7016,OUT010,2008,,NO,Tier 3,Family Basket,281.2016
FDG02,7.855,Low Fat,0.011432038,182.128348,Canned,256.5188,OUT018,2019,Medium,NO,Tier 3,C-Town,1132.094
NCO26,7.235,Low Fat,0.076980628,130.674932,Household,184.0492,OUT046,2007,Small,NO,Tier 1,Carrefour,2149.4364
FDH35,,Low Fat,0.060081876,165.751346,Starchy Foods,233.4526,OUT027,1995,Medium,NO,Tier 3,Cozmo,5442.4832
FDB51,6.92,Low Fat,0.038657062,91.295492,Dairy,128.5852,OUT045,2012,,NO,Tier 2,Carrefour,1494.2892
FDX44,9.3,Low Fat,0.043334581,112.760212,Fruits and Vegetables,158.8172,OUT017,2017,,YES,Tier 2,Carrefour,715.3032
NCN07,18.5,Low Fat,0.056941465,142.091164,Others,200.1284,OUT010,2008,,NO,Tier 3,Family Basket,443.6568
NCC31,8.02,Low Fat,0.019991705,158.044012,Household,222.5972,OUT035,2014,Small,NO,Tier 2,Carrefour,1582.1748
NCX54,9.195,Low Fat,0.048456717,122.945162,Household,173.1622,OUT017,2017,,NO,Tier 2,Carrefour,1873.7952
NCO55,12.8,Low Fat,0.091346855,123.251598,Others,173.5938,OUT045,2012,,NO,Tier 2,Carrefour,2323.876
NCC30,16.6,Low Fat,0.027747076,174.400424,Household,245.6344,OUT049,2009,Medium,YES,Tier 1,Carrefour,2856.516
FDI16,14,Regular,0,85.95544,Frozen Foods,121.064,OUT035,2014,Small,NO,Tier 2,Carrefour,1085.488
FDP16,18.6,Low Fat,0.039480947,223.209942,Frozen Foods,314.3802,OUT049,2009,Medium,NO,Tier 1,Carrefour,7550.406
FDB11,16,Low Fat,0.060961524,209.336684,Starchy Foods,294.8404,OUT035,2014,Small,NO,Tier 2,Carrefour,6481.1312
NCB06,17.6,Low Fat,0.082441506,162.37132,Health and Hygiene,228.692,OUT035,2014,Small,NO,Tier 2,Carrefour,1777.92
FDA45,21.25,Low Fat,0.155475299,174.82827,Snack Foods,246.237,OUT035,2014,Small,NO,Tier 2,Carrefour,709.311
NCO26,7.235,Low Fat,0.076966095,131.739932,Household,185.5492,OUT035,2014,Small,NO,Tier 2,Carrefour,2149.4364
DRJ25,14.6,Low Fat,0.151544185,84.042132,Soft Drinks,118.3692,OUT017,2017,,NO,Tier 2,Carrefour,1214.6532
FDR28,13.85,reg,0.026126976,162.95991,Frozen Foods,229.521,OUT018,2019,Medium,NO,Tier 3,C-Town,1974.331
FDI04,13.65,Regular,0.073334447,188.606246,Frozen Foods,265.6426,OUT018,2019,Medium,NO,Tier 3,C-Town,2948.3964
DRK12,,Low Fat,0.041808481,70.4959,Soft Drinks,99.29,OUT027,1995,Medium,NO,Tier 3,Cozmo,1078.83
FDX20,7.365,Low Fat,0.042685252,208.86212,Fruits and Vegetables,294.172,OUT046,2007,Small,NO,Tier 1,Carrefour,3349.208
NCI18,18.35,Low Fat,0.014206156,207.017966,Household,291.5746,OUT018,2019,Medium,NO,Tier 3,C-Town,3769.9936
FDB36,5.465,Regular,0,142.399446,Baking Goods,200.5626,OUT018,2019,Medium,NO,Tier 3,C-Town,442.3252
FDN13,18.6,Low Fat,0.153043384,119.163418,Breakfast,167.8358,OUT017,2017,,NO,Tier 2,Carrefour,2090.1802
DRD24,13.85,Low Fat,0.031094274,148.329934,Soft Drinks,208.9154,OUT017,2017,,NO,Tier 2,Carrefour,1881.7848
FDQ28,14,Regular,0.060501776,158.021576,Frozen Foods,222.5656,OUT013,1997,High,NO,Tier 3,Carrefour,2651.4496
FDM22,14,Regular,0.04204785,87.16244,Snack Foods,122.764,OUT013,1997,High,NO,Tier 3,Carrefour,1511.6
FDR07,,Low Fat,0.077492431,117.156674,Fruits and Vegetables,165.0094,OUT027,1995,Medium,NO,Tier 3,Cozmo,1988.9786
FDV25,5.905,Low Fat,0.045963211,206.287376,Canned,290.5456,OUT018,2019,Medium,NO,Tier 3,C-Town,3495.684
DRF49,7.27,Low Fat,0.071202939,129.398778,Soft Drinks,182.2518,OUT046,2007,Small,NO,Tier 1,Carrefour,2798.5914
FDW51,6.155,Regular,0.094784871,200.61476,Meat,282.556,OUT046,2007,Small,NO,Tier 1,Carrefour,2949.728
DRL01,19.5,Regular,0.077733838,214.062018,Soft Drinks,301.4958,OUT017,2017,,NO,Tier 2,Carrefour,5555.0034
FDP25,15.2,Low Fat,0.021452477,202.266504,Canned,284.8824,OUT017,2017,,NO,Tier 2,Carrefour,3018.9712
FDL50,12.15,Regular,0.042610444,137.033266,Canned,193.0046,OUT018,2019,Medium,NO,Tier 3,C-Town,1923.0644
NCB30,,Low Fat,0.025703526,189.433964,Household,266.8084,OUT027,1995,Medium,NO,Tier 3,Cozmo,5735.4352
FDW11,12.6,Low Fat,0.0491058,92.242774,Breads,129.9194,OUT018,2019,Medium,NO,Tier 3,C-Town,799.194
NCM43,14.5,Low Fat,0.019596688,165.30291,Others,232.821,OUT035,2014,Small,NO,Tier 2,Carrefour,2300.573
FDK44,16.6,Low Fat,0.123043852,171.162398,Fruits and Vegetables,241.0738,OUT017,2017,,NO,Tier 2,Carrefour,4003.0236
FDM15,11.8,Regular,0.057498797,155.799986,Meat,219.4366,OUT013,1997,High,NO,Tier 3,Carrefour,1540.2294
FDS31,13.1,Regular,0.044280597,175.250578,Fruits and Vegetables,246.8318,OUT013,1997,High,NO,Tier 3,Carrefour,4149.4996
FDI32,17.7,Low Fat,0.291990402,130.060214,Fruits and Vegetables,183.1834,OUT010,2008,,NO,Tier 3,Family Basket,525.5502
FDR47,17.85,LF,0,187.851374,Breads,264.5794,OUT010,2008,,NO,Tier 3,Family Basket,765.2382
FDB35,12.3,Regular,0.064875025,114.083084,Starchy Foods,160.6804,OUT045,2012,,NO,Tier 2,Carrefour,1190.6844
NCU05,11.8,Low Fat,0.098437421,106.117878,Health and Hygiene,149.4618,OUT010,2008,,NO,Tier 3,Family Basket,341.1236
DRY23,,Regular,0.191138663,78.178952,Soft Drinks,110.1112,OUT019,1995,Small,YES,Tier 1,Family Basket,222.6112
FDO24,11.1,Low Fat,0.176698035,160.076884,Baking Goods,225.4604,OUT045,2012,,YES,Tier 2,Carrefour,3190.7476
FDQ28,,Regular,0.060259441,156.956576,Frozen Foods,221.0656,OUT027,1995,Medium,YES,Tier 3,Cozmo,6204.1584
FDV39,11.3,Low Fat,0.007419652,188.961246,Meat,266.1426,OUT045,2012,,NO,Tier 2,Carrefour,1168.713
NCO17,,Low Fat,0.128603462,132.02024,Health and Hygiene,185.944,OUT019,1995,Small,NO,Tier 1,Family Basket,419.688
FDU50,5.75,Regular,0.075232656,128.380496,Dairy,180.8176,OUT013,1997,High,NO,Tier 3,Carrefour,1554.2112
FDT12,,Regular,0.049506406,209.312402,Baking Goods,294.8062,OUT027,1995,Medium,NO,Tier 3,Cozmo,4919.8302
FDK58,11.35,Regular,0.045290796,119.281136,Snack Foods,168.0016,OUT018,2019,Medium,NO,Tier 3,C-Town,1192.016
FDO08,,Regular,0.09427875,165.964346,Fruits and Vegetables,233.7526,OUT019,1995,Small,NO,Tier 1,Family Basket,837.8104
NCW29,14,Low Fat,0.029032832,140.88601,Health and Hygiene,198.431,OUT049,2009,Medium,NO,Tier 1,Carrefour,958.986
FDE04,19.75,Regular,0.018184621,175.91386,Frozen Foods,247.766,OUT045,2012,,NO,Tier 2,Carrefour,2516.958
NCB19,6.525,Low Fat,0.090561094,108.692622,Household,153.0882,OUT049,2009,Medium,NO,Tier 1,Carrefour,2413.0932
FDV15,10.3,Low Fat,0.146524712,122.095008,Meat,171.9648,OUT049,2009,Medium,NO,Tier 1,Carrefour,1841.8368
FDL58,5.78,Regular,0.074389356,236.257328,Snack Foods,332.7568,OUT049,2009,Medium,NO,Tier 1,Carrefour,4925.8224
FDA08,11.85,Regular,0.050311726,164.828346,Fruits and Vegetables,232.1526,OUT045,2012,,NO,Tier 2,Carrefour,3304.5994
FDT43,16.35,Low Fat,0.020756654,83.874004,Fruits and Vegetables,118.1324,OUT018,2019,Medium,NO,Tier 3,C-Town,647.3916
NCX06,,Low Fat,0.01573608,177.924296,Household,250.5976,OUT027,1995,Medium,NO,Tier 3,Cozmo,5250.7328
FDT20,10.5,Low Fat,0.041520445,74.987644,Fruits and Vegetables,105.6164,OUT046,2007,Small,NO,Tier 1,Carrefour,720.6296
FDB41,19,Regular,0.097438129,82.410978,Frozen Foods,116.0718,OUT046,2007,Small,NO,Tier 1,Carrefour,1172.7078
NCN55,14.6,Low Fat,0.059707996,217.866198,Others,306.8538,OUT049,2009,Medium,NO,Tier 1,Carrefour,6188.845
FDE40,,Regular,0.098788652,92.952774,Dairy,130.9194,OUT027,1995,Medium,YES,Tier 3,Cozmo,2285.2596
FDX49,,reg,0.101463651,213.4473,Canned,300.63,OUT027,1995,Medium,NO,Tier 3,Cozmo,5539.69
NCM53,18.75,Low Fat,0.052271456,122.56588,Health and Hygiene,172.628,OUT045,2012,,NO,Tier 2,Carrefour,925.696
FDE36,5.26,Regular,0.041889487,163.219628,Baking Goods,229.8868,OUT035,2014,Small,NO,Tier 2,Carrefour,3455.736
FDN57,18.25,Low Fat,0.054469186,147.832934,Snack Foods,208.2154,OUT045,2012,,NO,Tier 2,Carrefour,1881.7848
FDI24,,Low Fat,0.078487484,174.61527,Baking Goods,245.937,OUT027,1995,Medium,NO,Tier 3,Cozmo,6884.606
FDI19,15.1,Low Fat,0.052464069,220.633352,Meat,310.7512,OUT046,2007,Small,YES,Tier 1,Carrefour,4299.9704
FDF24,15.5,Regular,0.042589962,106.211314,Baking Goods,149.5934,OUT010,2008,,NO,Tier 3,Family Basket,507.5736
FDG52,13.65,Low Fat,0.065857883,80.755542,Frozen Foods,113.7402,OUT049,2009,Medium,NO,Tier 1,Carrefour,960.9834
